['Mina Murray'],154
['Jonathan Harker'],144
['Count Dracula'],5
['Prof. Van Helsing'],142
['Lucy Westenra'],177
['Dr. Seward'],46
['Arthur Holwood'],26
['Renfield'],5
['Quincey Morris'],20
"['Mina Murray', 'Prof. Van Helsing']",23
"['Mina Murray', 'Lucy Westenra']",10
"['Prof. Van Helsing', 'Lucy Westenra']",53
"['Dr. Seward', 'Lucy Westenra']",15
"['Arthur Holwood', 'Lucy Westenra']",7
"['Dr. Seward', 'Arthur Holwood']",7
"['Quincey Morris', 'Arthur Holwood']",12
"['Dr. Seward', 'Arthur Holwood', 'Lucy Westenra']",7
